id,name,protein,fat,carbohydrate,vitaminA,vitaminB1,vitaminB2,vitaminB3,vitaminB5,vitaminB6,vitaminB12,vitaminC,vitaminD,vitaminK
169,＜いも類＞こんにゃく　凍みこんにゃく　ゆで　　,0.7,0.3,16.8,0,0,0,0.1,0,0.1,0,0,0,0
170,＜いも類＞こんにゃく　しらたき　　　,0.2,Tr,3,0,0,0,0,0,0.01,0,0,0,0
171,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　生　　,1.2,0.2,31.9,2,0.11,0.04,0.8,0.9,0.26,0,29,0,0
172,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　蒸し　　,1.2,0.2,31.9,2,0.11,0.04,0.8,0.9,0.27,0,29,0,0
173,＜いも類＞（さつまいも類）さつまいも　塊根　皮むき　焼き　　,1.4,0.2,39,1,0.12,0.06,1,1.3,0.33,0,23,0,0
174,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　生　　,0.9,0.5,33.1,3,0.1,0.02,0.6,0.48,0.2,0,25,0,0
175,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　蒸し　　,0.9,0.2,33.7,4,0.1,0.02,0.7,0.56,0.2,0,20,0,0
176,＜いも類＞（さつまいも類）さつまいも　塊根　皮つき　天ぷら　　,1.4,6.8,38.4,5,0.11,0.04,0.7,0.6,0.2,0,21,0,11
177,＜いも類＞（さつまいも類）さつまいも　蒸し切干　　　,3.1,0.6,71.9,0,0.19,0.08,1.6,1.35,0.41,0,9,0,0
178,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　生　　,1.2,0.3,31.7,Tr,0.12,0.02,1.3,0.54,0.18,0,29,0,0
179,＜いも類＞（さつまいも類）むらさきいも　塊根　皮むき　蒸し　　,1.2,0.3,31.4,Tr,0.13,0.03,1.5,0.61,0.16,0,24,0,0
180,＜いも類＞（さといも類）　さといも　球茎　生　　,1.5,0.1,13.1,Tr,0.07,0.02,1,0.48,0.15,0,6,0,0
181,＜いも類＞（さといも類）　さといも　球茎　水煮　　,1.5,0.1,13.4,Tr,0.06,0.02,0.8,0.42,0.14,0,5,0,0
182,＜いも類＞（さといも類）　さといも　球茎　冷凍　　,2.2,0.1,16.1,Tr,0.07,0.01,0.7,0.32,0.14,0,5,0,0
183,＜いも類＞（さといも類）　セレベス　球茎　生　　,2.2,0.3,19.8,1,0.1,0.03,1.7,0.48,0.21,0,6,0,0
184,＜いも類＞（さといも類）　セレベス　球茎　水煮　　,2.1,0.3,19.1,1,0.08,0.02,1.5,0.38,0.16,0,4,0,0
185,＜いも類＞（さといも類）　たけのこいも　球茎　生　　,1.7,0.4,23.5,1,0.05,0.03,0.7,0.31,0.21,0,6,0,0
186,＜いも類＞（さといも類）　たけのこいも　球茎　水煮　　,1.6,0.4,21.8,1,0.05,0.02,0.6,0.23,0.14,0,4,0,0
187,＜いも類＞（さといも類）　みずいも　球茎　生　　,0.7,0.4,27.6,1,0.16,0.02,0.6,0.2,0.21,0,7,0,0
188,＜いも類＞（さといも類）　みずいも　球茎　水煮　　,0.7,0.4,26.1,0,0.16,0.02,0.6,0.14,0.17,0,4,0,0
189,＜いも類＞（さといも類）　やつがしら　球茎　生　　,3,0.7,20.5,1,0.13,0.06,0.7,0.5,0.22,0,7,0,0
190,＜いも類＞（さといも類）　やつがしら　球茎　水煮　　,2.7,0.6,20,0,0.11,0.04,0.5,0.49,0.17,0,5,0,0
191,＜いも類＞じゃがいも　塊茎　生　　　,1.6,0.1,17.6,0,0.09,0.03,1.3,0.47,0.18,0,35,0,Tr
192,＜いも類＞じゃがいも　塊茎　蒸し　　　,1.5,0.1,19.7,0,0.05,0.02,0.8,0.52,0.18,0,15,0,0
193,＜いも類＞じゃがいも　塊茎　水煮　　　,1.5,0.1,16.8,0,0.06,0.03,0.8,0.37,0.18,0,21,0,0
194,＜いも類＞じゃがいも　フライドポテト　　　,2.9,10.6,32.4,0,0.12,0.06,1.5,0.71,0.35,0,40,0,18
195,＜いも類＞じゃがいも　乾燥マッシュポテト　　　,6.6,0.6,82.8,0,0.25,0.05,2,0.47,1.01,0,5,0,0
196,＜いも類＞ヤーコン　塊根　生　　　,0.6,0.3,12.4,2,0.04,0.01,1,0.02,0.08,0,3,0,0
197,＜いも類＞ヤーコン　塊根　水煮　　　,0.6,0.3,9.9,2,0.03,0.01,0.7,0.01,0.06,0,2,0,0
198,＜いも類＞（やまのいも類）　ながいも　いちょういも　塊根　生　,4.5,0.5,22.6,Tr,0.15,0.05,0.4,0.85,0.11,0,7,0,0
199,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　生　,2.2,0.3,13.9,0,0.1,0.02,0.4,0.61,0.09,0,6,0,0
200,＜いも類＞（やまのいも類）　ながいも　ながいも　塊根　水煮　,2,0.3,12.6,0,0.08,0.02,0.3,0.5,0.08,0,4,0,0
201,＜いも類＞（やまのいも類）　ながいも　やまといも　塊根　生　,4.5,0.2,27.1,1,0.13,0.02,0.5,0.54,0.14,0,5,0,0
202,＜いも類＞（やまのいも類）　じねんじょ　塊根　生　　,2.8,0.7,26.7,Tr,0.11,0.04,0.6,0.67,0.18,0,15,0,0
203,＜いも類＞（やまのいも類）　だいじょ　塊根　生　　,2.6,0.1,25,Tr,0.1,0.02,0.4,0.45,0.28,0,17,0,0
204,＜でん粉・でん粉製品＞（でん粉類）　キャッサバでん粉　　　,0.1,0.2,85.3,0,0,0,0,0,0,0,0,0,0
